Model #,Over Ratio,Under Ratio,Precision,Recall,F1
7,0.2,0.8,0.18489342,0.153599384,0.167799818
42,0.45,0.8,0.184202407,0.153214423,0.167285464
21,0.3,0.8,0.1843927,0.150391377,0.165665418
49,0.5,0.8,0.187570621,0.149108174,0.166142408
14,0.25,0.8,0.185827793,0.147055049,0.164183381
35,0.4,0.8,0.184530755,0.142050558,0.160527842
28,0.35,0.8,0.184793727,0.139099192,0.158723186
41,0.45,0.75,0.19028063,0.10701912,0.136990802
34,0.4,0.75,0.184855234,0.106505839,0.135146137
27,0.35,0.75,0.18889673,0.103041191,0.133344404
48,0.5,0.75,0.190941597,0.10278455,0.133633634
20,0.3,0.75,0.190721649,0.099704863,0.130951378
6,0.2,0.75,0.187946885,0.094443732,0.125715262
13,0.25,0.75,0.187930122,0.091107404,0.122720595
33,0.4,0.7,0.194805195,0.07121776,0.104303702
47,0.5,0.7,0.19161038,0.069164635,0.101640581
19,0.3,0.7,0.192349727,0.067753112,0.100208768
40,0.45,0.7,0.195872274,0.064545105,0.097094875
26,0.35,0.7,0.190929878,0.064288464,0.096188922
5,0.2,0.7,0.195669291,0.063775183,0.096196652
12,0.25,0.7,0.19486166,0.063261902,0.09551487
32,0.4,0.65,0.203645506,0.041575773,0.069053708
25,0.35,0.65,0.200666667,0.038624407,0.064779942
46,0.5,0.65,0.204095563,0.038367766,0.064592785
39,0.45,0.65,0.205298013,0.03580136,0.06097028
11,0.25,0.65,0.204160247,0.034004876,0.058299417
18,0.3,0.65,0.195512821,0.03131015,0.05397633
4,0.2,0.65,0.203499079,0.028358784,0.049780381
45,0.5,0.6,0.214452214,0.023610933,0.042538435
38,0.45,0.6,0.224899598,0.021557808,0.039344262
24,0.35,0.6,0.214285714,0.021172847,0.038537896
17,0.3,0.6,0.214586255,0.019633004,0.035974606
31,0.4,0.6,0.219512195,0.018478121,0.034086874
3,0.2,0.6,0.205539359,0.018093161,0.033258639
10,0.25,0.6,0.206070288,0.016553317,0.03064497
44,0.5,0.55,0.230769231,0.010393943,0.019891945
23,0.35,0.55,0.227920228,0.010265623,0.019646365
37,0.45,0.55,0.219135802,0.00911074,0.017494148
9,0.25,0.55,0.214067278,0.00898242,0.017241379
30,0.4,0.55,0.233108108,0.0088541,0.017060205
2,0.2,0.55,0.220394737,0.008597459,0.016549339
16,0.3,0.55,0.222222222,0.008469139,0.01631644
1,0.2,0.5,0.244444444,0.002823046,0.005581631
15,0.3,0.5,0.2625,0.002694726,0.005334688
36,0.45,0.5,0.220930233,0.002438085,0.004822947
22,0.35,0.5,0.276923077,0.002309765,0.004581318
29,0.4,0.5,0.265625,0.002181445,0.004327351
43,0.5,0.5,0.222222222,0.002053125,0.004068659
8,0.25,0.5,0.244897959,0.001539843,0.003060444
