Model #,Over Ratio,Under Ratio,Precision,Recall,F1
7,0.2,0.8,0.205986268,0.396509688,0.27112398
28,0.35,0.8,0.206217757,0.389837033,0.269744728
49,0.5,0.8,0.206851928,0.389708713,0.27025584
35,0.4,0.8,0.206332993,0.388810471,0.269596939
14,0.25,0.8,0.208244443,0.38829719,0.271098369
42,0.45,0.8,0.205992765,0.387270627,0.268936019
21,0.3,0.8,0.206911053,0.378801489,0.267633726
48,0.5,0.75,0.210309605,0.340818683,0.260111644
27,0.35,0.75,0.209267446,0.340177082,0.25912712
34,0.4,0.75,0.211396469,0.337995637,0.260109613
6,0.2,0.75,0.211772284,0.337482356,0.260241441
41,0.45,0.75,0.20995844,0.337097395,0.258754001
20,0.3,0.75,0.211029826,0.336840755,0.259489917
13,0.25,0.75,0.209067804,0.327216733,0.255127564
40,0.45,0.7,0.218338497,0.289362248,0.248882512
33,0.4,0.7,0.219964837,0.288977287,0.249792025
12,0.25,0.7,0.219531327,0.287309124,0.248888395
47,0.5,0.7,0.219785623,0.286795842,0.248858702
26,0.35,0.7,0.220260406,0.286539202,0.249065864
5,0.2,0.7,0.219621069,0.284101116,0.247734139
19,0.3,0.7,0.220895223,0.282432953,0.247902236
32,0.4,0.65,0.227779153,0.236109329,0.231869447
46,0.5,0.65,0.226208087,0.235467727,0.230745049
18,0.3,0.65,0.227004868,0.227383549,0.227194051
25,0.35,0.65,0.228357631,0.227126909,0.227740607
39,0.45,0.65,0.226243765,0.226998588,0.226620548
11,0.25,0.65,0.229441757,0.225202104,0.227302163
4,0.2,0.65,0.228178694,0.213011677,0.220334484
38,0.45,0.6,0.234165995,0.186449378,0.207601086
31,0.4,0.6,0.236518771,0.177851918,0.203032301
45,0.5,0.6,0.237545884,0.174387271,0.20112476
10,0.25,0.6,0.238900634,0.17400231,0.201351251
17,0.3,0.6,0.240598759,0.169126139,0.198628589
24,0.35,0.6,0.238406983,0.168227897,0.197261511
3,0.2,0.6,0.242418313,0.158988836,0.192033478
16,0.3,0.55,0.250506586,0.126908764,0.168469466
23,0.35,0.55,0.252699229,0.126138843,0.168278696
30,0.4,0.55,0.253611971,0.126138843,0.16848059
37,0.45,0.55,0.247582697,0.12485564,0.165998465
44,0.5,0.55,0.251557632,0.124342359,0.166423358
9,0.25,0.55,0.253404539,0.121775953,0.164499913
2,0.2,0.55,0.253076063,0.11612986,0.159204855
15,0.3,0.5,0.267775468,0.082638265,0.126299274
29,0.4,0.5,0.266860949,0.082253304,0.125747916
8,0.25,0.5,0.27116459,0.080970101,0.124703557
43,0.5,0.5,0.264792279,0.080970101,0.124017296
36,0.45,0.5,0.26573722,0.080713461,0.123818898
22,0.35,0.5,0.268899955,0.076222251,0.118776245
1,0.2,0.5,0.276410999,0.073527525,0.116156497
